City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mar del plata,-38.0023,-57.5575,59.88,84,0,23.0,AR,1667619566
1,castro,-24.7911,-50.0119,44.91,92,1,5.21,BR,1667619644
2,punta arenas,-53.15,-70.9167,53.71,71,75,12.66,CL,1667619645
3,broken hill,-31.95,141.4333,72.23,28,100,4.45,AU,1667619645
4,flinders,-34.5833,150.8552,73.06,65,59,12.06,AU,1667619646
5,butaritari,3.0707,172.7902,80.11,76,84,8.32,KI,1667619646
6,grindavik,63.8424,-22.4338,42.75,75,75,16.11,IS,1667619646
7,clyde river,70.4692,-68.5914,8.83,61,0,16.11,CA,1667619648
8,mahebourg,-20.4081,57.7,74.25,88,40,3.44,MU,1667619648
9,lebu,-37.6167,-73.65,49.32,91,76,7.63,CL,1667619648
10,rikitea,-23.1203,-134.9692,71.06,70,15,16.44,PF,1667619649
11,hobart,-42.8794,147.3294,68.27,72,15,9.33,AU,1667619452
12,albany,42.6001,-73.9662,61.21,76,96,4.97,US,1667619310
13,borovoy,55.4333,86.0833,30.69,86,0,6.71,RU,1667619650
14,chuy,-33.6971,-53.4616,57.07,90,0,8.5,UY,1667619650
15,kloulklubed,7.0419,134.2556,75.7,73,97,5.99,PW,1667619651
16,manado,1.487,124.8455,88.57,66,40,3.44,ID,1667619651
17,vaini,-21.2,-175.2,80.76,74,40,11.5,TO,1667619652
18,victoria,22.2855,114.1577,75.18,80,87,15.01,HK,1667619652
19,kholm-zhirkovskiy,55.5189,33.4731,26.58,95,11,3.89,RU,1667619652
20,padang,-0.9492,100.3543,82.45,70,100,2.64,ID,1667619653
21,buala,-8.145,159.5921,83.23,74,100,3.29,SB,1667619653
22,shakawe,-18.3667,21.85,68.14,83,97,0.56,BW,1667619655
23,mataura,-46.1927,168.8643,55.09,45,59,10.31,NZ,1667619655
24,severo-kurilsk,50.6789,156.125,39.88,71,57,28.81,RU,1667619656
25,morondava,-20.2833,44.2833,79.52,73,86,2.66,MG,1667619656
26,mount gambier,-37.8333,140.7667,69.53,46,72,2.8,AU,1667619375
27,dubuque,42.4833,-90.8668,49.68,86,100,14.97,US,1667619657
28,faanui,-16.4833,-151.75,75.16,90,100,26.91,PF,1667619657
29,broome,42.2506,-75.833,62.38,71,0,12.66,US,1667619657
30,kapaa,22.0752,-159.319,82.38,82,100,16.11,US,1667619588
31,bluff,-46.6,168.3333,51.91,57,70,20.04,NZ,1667619658
32,narsaq,60.9167,-46.05,44.82,73,70,6.78,GL,1667619659
33,analipsis,35.3167,25.5667,61.43,57,0,2.28,GR,1667619659
34,mitsamiouli,-11.3847,43.2844,79.09,69,20,8.05,KM,1667619659
35,san patricio,28.017,-97.5169,78.84,89,0,11.41,US,1667619660
36,hilo,19.7297,-155.09,76.73,89,0,4.61,US,1667619621
37,sao joao da barra,-21.6403,-41.0511,63.19,82,5,9.93,BR,1667619660
38,leshukonskoye,64.8989,45.7622,29.8,95,100,5.21,RU,1667619661
39,nueve de julio,-35.4444,-60.8831,59.97,71,26,1.01,AR,1667619661
40,new norfolk,-42.7826,147.0587,67.91,41,3,1.99,AU,1667619662
41,ushuaia,-54.8,-68.3,42.46,100,40,6.91,AR,1667619662
42,guanare,9.0418,-69.7421,72.61,85,100,2.91,VE,1667619663
43,gamba,-2.65,10.0,74.62,91,92,2.42,GA,1667619663
44,thompson,55.7435,-97.8558,19.56,93,100,4.61,CA,1667619588
45,adrar,20.5022,-10.0711,68.86,16,0,8.28,MR,1667619664
46,akdepe,42.0551,59.3788,35.69,62,75,7.65,TM,1667619665
47,mont-dore,-22.2833,166.5833,80.01,99,83,14.29,NC,1667619665
48,tiksi,71.6872,128.8694,-1.37,98,97,1.34,RU,1667619666
49,verkhniy baskunchak,48.2256,46.7217,34.88,80,78,1.19,RU,1667619666
50,juneau,58.3019,-134.4197,34.21,93,75,4.61,US,1667619666
51,mayya,61.7333,130.2811,7.92,90,99,4.65,RU,1667619667
52,port alfred,-33.5906,26.891,65.17,96,99,3.0,ZA,1667619668
53,pevek,69.7008,170.3133,2.48,81,8,9.64,RU,1667619669
54,port elizabeth,-33.918,25.5701,65.1,94,75,6.91,ZA,1667619669
55,puerto ayora,-0.7393,-90.3518,66.33,80,87,10.27,EC,1667619669
56,maragogi,-9.0122,-35.2225,73.09,93,100,9.69,BR,1667619670
57,kaitangata,-46.2817,169.8464,55.72,48,83,12.01,NZ,1667619670
58,nenjiang,49.1833,125.2167,34.48,27,3,10.02,CN,1667619671
59,port lincoln,-34.7333,135.8667,72.32,47,6,2.44,AU,1667619672
60,lucera,41.5082,15.3351,55.22,86,100,11.18,IT,1667619673
61,kavieng,-2.5744,150.7967,84.54,70,97,5.84,PG,1667619673
62,vezirkopru,41.1436,35.4547,37.89,83,47,2.24,TR,1667619673
63,busselton,-33.65,115.3333,69.76,41,0,1.72,AU,1667619674
64,yuzhno-kurilsk,44.0306,145.8556,46.04,53,14,14.61,RU,1667619674
65,sitka,57.0531,-135.33,35.49,87,75,4.61,US,1667619674
66,champerico,14.3,-91.9167,79.86,81,86,5.35,GT,1667619675
67,kichera,55.9375,110.0997,28.74,79,91,0.2,RU,1667619675
68,narodychi,51.2029,29.0823,37.49,97,18,7.43,UA,1667619676
69,georgetown,5.4112,100.3354,82.35,81,20,9.22,MY,1667619538
70,daru,-9.0763,143.2092,85.73,68,57,8.5,PG,1667619676
71,tuktoyaktuk,69.4541,-133.0374,10.4,79,100,12.66,CA,1667619677
72,barrow,71.2906,-156.7887,15.82,73,100,8.05,US,1667619678
73,port hedland,-20.3167,118.5667,89.65,40,0,16.11,AU,1667619678
74,darnah,32.767,22.6367,64.89,75,0,9.64,LY,1667619678
75,jamestown,42.097,-79.2353,65.79,68,0,12.66,US,1667619627
